A ♣ 1 As de Paus
2 ♣ 2 Dois de Paus
3 ♣ 3 Tres de Paus
4 ♣ 4 Quatro de Paus
5 ♣ 5 Cinco de Paus
6 ♣ 6 Seis de Paus
7 ♣ 7 Sete de Paus
8 ♣ 8 Oito de Paus
9 ♣ 9 Nove de Paus
10 ♣ 10 Dez de Paus
J ♣ 11 Valete de Paus
Q ♣ 12 Rainha de Paus
K ♣ 13 Rei de Paus
A ♥ 1 As de Copas
2 ♥ 2 Dois de Copas
3 ♥ 3 Tres de Copas
4 ♥ 4 Quatro de Copas
5 ♥ 5 Cinco de Copas
6 ♥ 6 Seis de Copas
7 ♥ 7 Sete de Copas
8 ♥ 8 Oito de Copas
9 ♥ 9 Nove de Copas
10 ♥ 10 Dez de Copas
J ♥ 11 Valete de Copas
Q ♥ 12 Rainha de Copas
K ♥ 13 Rei de Copas
A ♠ 1 As de Espadas
2 ♠ 2 Dois de Espadas
3 ♠ 3 Tres de Espadas
4 ♠ 4 Quatro de Espadas
5 ♠ 5 Cinco de Espadas
6 ♠ 6 Seis de Espadas
7 ♠ 7 Sete de Espadas
8 ♠ 8 Oito de Espadas
9 ♠ 9 Nove de Espadas
10 ♠ 10 Dez de Espadas
J ♠ 11 Valete de Espadas
Q ♠ 12 Rainha de Espadas
K ♠ 13 Rei de Espadas
A ♦ 1 As de Ouros
2 ♦ 2 Dois de Ouros
3 ♦ 3 Tres de Ouros
4 ♦ 4 Quatro de Ouros
5 ♦ 5 Cinco de Ouros
6 ♦ 6 Seis de Ouros
7 ♦ 7 Sete de Ouros
8 ♦ 8 Oito de Ouros
9 ♦ 9 Nove de Ouros
10 ♦ 10 Dez de Ouros
J ♦ 11 Valete de Ouros
Q ♦ 12 Rainha de Ouros
K ♦ 13 Rei de Ouros
